,Marginal,Node,Level,Branch,OR_Details,Additional_Stat,Tree
131,-3.2822858326259734,0,8,1,"['SYBU', 1, 0, 0, 0, nan]",-3.2822858326259734,25
132,-4.093216048842303,0,7,1,"['NOX3', 2, 1, 0, 0, nan]",-4.093216048842303,25
133,-5.009506780716457,0,6,1,"['FLNC', 4, 3, 0, 0, nan]",-5.009506780716457,25
134,-3.1123867958305764,0,5,1,"['HMBOX1', 3, 0, 0, 0, nan]",-3.1123867958305764,25
135,-146.11250171413622,PIK3CA,3,1,"['PIK3CA', 36, 24, 47, 124, 3.9574468]",-146.11250171413622,25
136,-96.8182841377814,PM20D1,4,0,"['PM20D1', 7, 0, 40, 124, inf]",-96.8182841377814,25
137,-87.55488380324705,MAP3K1,5,0,"['MAP3K1', 9, 2, 31, 122, 17.709679]",-87.55488380324705,25
138,-74.85342112665607,SLC1A2,6,0,"['SLC1A2', 5, 0, 26, 122, inf]",-74.85342112665607,25
139,-66.07073453101572,HIST1H2AE,7,0,"['HIST1H2AE', 5, 0, 21, 122, inf]",-66.07073453101572,25
140,-60.0491601983661,ABCA6,8,0,"['ABCA6', 3, 0, 18, 122, inf]",-60.0491601983661,25
141,-54.00813984889177,KEAP1,9,0,"['KEAP1', 3, 0, 15, 122, inf]",-54.00813984889177,25
142,-47.447989312801305,PIWIL1,10,0,"['PIWIL1', 3, 0, 12, 122, inf]",-47.447989312801305,25
143,-40.22759469422245,MAP3K9,11,0,"['MAP3K9', 3, 0, 9, 122, inf]",-40.22759469422245,25
144,-34.746261567450816,PRELP,12,0,"['PRELP', 2, 0, 7, 122, inf]",-34.746261567450816,25
145,-29.04426640336872,0,12,0,"['PRELP', 0, 0, 7, 122, nan]",-29.04426640336872,25
